"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
20038086,Beowulf,N,2460600.5,1.42,0.5661,23.67,178.97,165.32,316.82,17.35,,
20038091,,N,2460600.5,2.17,0.4012,9.33,225.04,64.82,306.59,16.30,,
20038239,,N,2460600.5,2.036,0.5757,9.40,28.50,199.79,269.10,18.26,,
20039565,,N,2460600.5,1.642,0.3342,8.60,344.80,0.94,95.99,18.46,,
20039572,,Y,2460600.5,2.036,0.4927,10.03,344.85,313.50,205.80,16.56,,
20039796,,N,2460600.5,2.251,0.4677,12.91,171.01,158.94,10.19,15.76,,
20040263,,N,2460600.5,1.495,0.1611,25.84,198.71,172.81,151.82,17.78,,
20040267,,N,2460600.5,1.339,0.8084,34.48,211.96,148.21,36.46,15.55,,
20040329,,N,2460600.5,2.265,0.4548,2.52,112.01,210.91,140.14,17.71,,
20041429,,Y,2460600.5,1.593,0.5553,2.17,297.20,351.91,42.91,20.66,,
20041440,,N,2460600.5,1.576,0.2114,15.11,200.04,64.04,105.23,19.88,,
20042286,,N,2460600.5,1.419,0.3917,24.08,150.95,55.82,108.64,16.65,,
20048603,,N,2460600.5,1.918,0.4299,5.03,81.81,328.22,102.88,17.82,,
20052340,,N,2460600.5,2.212,0.5477,8.08,116.34,5.24,218.94,18.10,,
20052381,,N,2460600.5,1.278,0.1441,7.73,263.85,183.25,39.29,20.07,,
20052387,Huitzilopochtli,N,2460600.5,1.282,0.1896,24.15,195.54,297.57,344.42,17.77,,
20052689,,N,2460600.5,1.562,0.2923,10.98,265.16,4.66,163.36,19.17,,
20052750,,N,2460600.5,1.427,0.5249,11.17,334.15,141.31,226.92,16.68,,
20052760,,Y,2460600.5,2.409,0.6233,2.43,20.37,338.68,347.09,17.50,,
20052761,,N,2460600.5,1.555,0.2242,19.49,350.50,258.97,221.39,17.99,,
20052762,,N,2460600.5,2.416,0.6530,33.86,254.53,308.94,29.20,14.81,,
20052768,,Y,2460600.5,2.38,0.5755,5.88,174.59,26.94,81.21,16.04,,
20053110,,N,2460600.5,1.644,0.2144,40.63,58.21,85.42,35.50,16.73,,
20053319,,Y,2460600.5,2.724,0.6414,13.84,166.80,133.62,228.77,15.36,,
20053409,,N,2460600.5,2.101,0.6282,10.88,147.77,206.68,84.64,18.73,,
20053426,,Y,2460600.5,1.923,0.5391,22.77,43.36,239.06,167.90,17.19,,
20053429,,Y,2460600.5,2.022,0.6410,26.78,64.09,199.16,281.57,18.94,,
20053430,,N,2460600.5,2.099,0.4035,60.41,156.95,241.92,90.24,16.66,,
20053435,Leonard,N,2460600.5,2.31,0.4833,15.35,354.47,51.35,49.36,14.74,,
20053550,,Y,2460600.5,1.495,0.4196,7.17,324.95,313.14,67.25,19.06,,
20053789,,Y,2460600.5,1.371,0.2692,40.78,218.35,190.02,236.89,17.34,,
20054071,,N,2460600.5,1.329,0.1973,23.44,128.31,36.34,32.86,17.43,,
20054401,,N,2460600.5,1.711,0.2624,18.95,67.06,240.84,297.05,17.23,,
20054509,YORP,N,2460600.5,1.006,0.2300,1.60,279.00,278.19,99.36,22.66,,
